#{"t_start": 1746146199.3406408, "env_id": "CartPole-v1"}
r,l,t
36.359407,41,0.345786
20.181931,22,0.346928
8.707465,10,0.34743
28.262555,31,0.348953
46.189515,52,0.352025
20.049324,22,0.353151
41.327921,47,0.355462
12.502469,14,0.356172
12.467603,14,0.357427
8.614346,10,0.357961
12.172232,14,0.358671
14.292049,16,0.359478
26.861395,30,0.361619
15.470355,17,0.36252
12.651803,14,0.363226
21.475376,24,0.364445
27.412415,30,0.366285
32.103571,35,0.368054
27.032689,30,0.369569
48.715874,54,0.384975
9.781152,11,0.38592
13.298637,15,0.386696
33.031239,38,0.388614
12.200476,14,0.389296
14.137999,16,0.390331
20.006881,24,0.391544
52.064786,57,0.394401
55.037043,62,0.397464
13.954535,16,0.398764
20.578849,23,0.399919
24.845536,27,0.401242
8.594889,10,0.401739
24.096511,27,0.403573
38.797661,42,0.405637
23.841242,27,0.406951
14.119456,16,0.407744
28.936939,31,0.409797
8.924265,10,0.410318
49.3209,55,0.552492
12.015976,14,0.564159
13.061103,15,0.577113
16.852707,19,0.594299
8.061982,9,0.601619
9.664821,11,0.610592
19.772247,23,0.633806
27.173703,31,0.659648
25.452947,28,0.682553
24.798644,28,0.705225
14.047101,16,0.718758
9.571924,11,0.727664
34.711785,37,0.75863
16.411445,19,0.773944
14.279888,16,0.787303
36.29023,40,0.821023
32.870457,38,0.853171
29.954983,34,0.881657
10.707428,12,0.891822
35.630696,39,0.923923
38.067784,42,0.958129
22.754133,26,0.979316
12.062631,14,0.991442
41.194932,45,1.029068
11.686127,13,1.039591
28.547304,32,1.065849
20.793836,24,1.086183
26.746455,30,1.112233
11.634571,13,1.123587
15.352969,17,1.137765
18.544761,21,1.156067
16.773499,19,1.173516
10.827437,12,1.184199
11.340605,13,1.195532
9.483157,11,1.205753
14.429081,16,1.219864
11.263876,13,1.232109
9.722753,11,1.241514
17.354211,19,1.260217
11.733838,13,1.271863
18.821268,22,1.290723
14.034793,16,1.304796
20.017596,22,1.324731
10.341206,12,1.337326
10.643015,12,1.349257
14.394131,16,1.363181
11.283503,13,1.375633
14.025484,16,1.389679
25.41543,28,1.415112
14.111976,16,1.429174
8.928403,10,1.438523
13.979617,16,1.452381
14.152893,16,1.467587
17.17955,19,1.484181
11.338599,13,1.497701
45.880565,50,1.540918
23.704618,26,1.563764
7.76809,9,1.571824
31.974132,35,1.604234
14.966394,17,1.619297
10.803532,12,1.629941
15.655026,18,1.645427
14.112326,16,1.660006
12.468054,14,1.673473
9.423782,11,1.683445
12.193922,14,1.695587
15.847702,19,1.713834
14.022684,16,1.727686
15.839714,18,1.743366
25.566272,28,1.768457
9.463264,11,1.778915
14.116227,16,1.792785
16.067718,18,1.809764
16.504018,19,1.826839
11.253546,13,1.839337
34.570275,38,1.874514
13.245926,15,1.887823
7.817245,9,1.89594
9.755341,11,1.906382
25.742538,29,1.933569
13.370007,15,1.946923
10.247469,12,1.957534
20.462091,24,1.979111
22.76265,26,2.002654
36.171432,41,2.038389
14.18486,16,2.052914
24.725402,28,2.078061
10.423062,12,2.089389
73.818197,85,2.164281
16.813793,19,2.181424
33.750576,36,2.215438
30.214027,34,2.244975
17.533447,20,2.262641
7.866708,9,2.270704
11.500109,13,2.283216
13.923242,16,2.297727
18.021515,20,2.316434
8.712007,10,2.324968
20.173334,23,2.346633
17.761469,20,2.364274
9.498412,11,2.374078
43.38231,48,2.416128
49.280806,55,2.466535
43.522462,50,2.510681
28.262934,32,2.538754
29.032642,33,2.567673
36.395911,42,2.606348
37.80411,42,2.643549
9.69151,11,2.653962
13.712471,16,2.668224
65.907854,73,2.735512
11.503221,13,2.74662
23.837245,26,2.769636
14.434378,16,2.783458
21.563532,24,2.805158
15.002198,17,2.821373
8.800213,10,2.830317
21.918068,25,2.852842
36.415896,40,2.890029
14.967254,17,2.905084
16.405562,20,2.92317
16.84861,20,2.940984
13.051413,15,2.955029
17.685095,20,2.973921
50.953202,57,3.024086
27.13568,30,3.050453
10.01624,11,3.060658
26.009981,28,3.086918
21.011315,24,3.108051
17.577975,19,3.124809
24.79169,27,3.149802
73.021878,89,3.230624
20.149081,23,3.250852
9.839666,11,3.26074
32.844905,36,3.295034
11.786794,13,3.306997
22.078049,24,3.328636
12.170189,14,3.341118
23.935744,27,3.365987
14.498807,16,3.381815
133.300882,153,3.516694
30.679671,33,3.545419
32.295053,35,3.578271
49.189491,57,3.629084
41.34469,47,3.670702
32.520007,37,3.703723
43.553052,52,3.758187
35.921454,42,3.795361
18.00988,21,3.814027
24.384962,27,3.837507
50.172435,55,3.886602
37.365337,41,3.920306
28.538617,31,3.946268
61.631205,69,4.010965
24.474358,28,4.035439
12.143527,14,4.048647
23.646818,28,4.071545
24.294225,28,4.226636
18.37159,21,4.244333
18.817284,22,4.26392
61.264366,68,4.321449
87.937197,106,4.411801
70.505755,77,4.478259
82.191388,102,4.572772
28.588098,32,4.600719
17.790517,20,4.618522
53.234178,60,4.672257
22.840064,25,4.69342
10.491642,12,4.703718
40.812701,46,4.74194
39.520006,45,4.782582
27.353623,30,4.807746
76.072642,85,4.879347
29.623039,33,4.907459
25.309882,28,4.93204
16.312574,18,4.94915
91.640036,103,5.03596
58.737469,68,5.094734
126.469966,150,5.231692
27.069692,31,5.257715
27.165228,31,5.284149
